site,Producrt,Price
Amazon,Apple-EarPods-with-Lightning-Connector,"1,599"
Amazon,Samsung Galaxy S21 FE,"31,400"
Amazon,"boAt Airdopes 121 Pro Plus, 100HRS Battery, 4Mics EN","1,199"
Amazon,Echo Dot 4th Gen,"5,499"
Amazon,Sony WH-1000XM5 Headphones,"29,990"
flipkart,apple-iphone-13,"49,900"
flipkart,boat-rockerz-450-bluetooth-headset,"1,484"
flipkart,adidas-men-black-running-shoes,"2,999"
flipkart,timex-analog-watch-men,"5,039"
flipkart,wildcraft-rucksack,"3,499"
myntra,puma-men-black-solid-sporty-jacket,"3,999"
myntra,nike-men-grey-running-shoes,"7,095"
myntra,fossil-men-brown-leather-watch,"7,372"
myntra,skybag-unisex-backpack,"1,999"
ebay,iPhone 13 Pro,"85,999"
ebay,Bose QuietComfort Earbuds,"26,900"
ebay,Nike Air Max Shoes,"5,999"
ebay,Casio G-Shock Watch,"13,495"
